STU_ID,SCH_ID,F3ERN2011,F3C02,F3EVRGED,F3EVERDO,BYMOTHED,BYS14,BYRACE,BYP61,F3ATTAINMENT,BYTXCSTD,BYSES1,F3JUNEDSTAT,F3REGION,F3B35
154102,1541,-4,-4,1,1,2,2,7,1,-4,32.96,-0.76,-4,-4,-4
154103,1541,-4,-4,0,1,2,1,7,0,-4,32.15,0.1,-4,-4,-4
154104,1541,65000,40,0,0,2,2,7,0,8,65.39,-0.16,3,2,1
154105,1541,-4,-4,0,0,4,1,7,0,-4,52.16,-0.14,-4,-4,-4
154106,1541,-4,-4,0,0,2,1,7,1,-4,48.68,-1.02,-4,-4,-4
154107,1541,0,-3,0,0,1,2,7,0,4,43.18,-0.9,2,2,-3
154108,1541,32000,48,0,1,3,2,7,-7,1,50.64,-0.99,4,4,0
154109,1541,90000,36,0,0,2,2,6,-4,6,63.17,-0.68,1,1,1
154110,1541,-4,-4,0,0,1,2,7,-4,-4,46.77,-1.52,-4,-4,-4
154111,1541,28000,40,0,0,3,2,7,0,6,44.01,0.04,3,2,0
154112,1541,-4,-4,0,0,2,2,7,0,-4,45.23,-0.21,-4,-4,-4
154113,1541,27000,35,0,0,2,2,7,1,2,49.71,-0.39,4,2,1
154114,1541,-4,-4,1,1,2,1,7,-4,-4,50.34,-0.84,-4,-4,-4
154115,1541,26000,40,0,0,5,2,7,0,3,50.08,0.13,3,2,0
154201,1542,26000,40,0,0,2,2,7,1,3,58.48,-0.47,3,2,1
154202,1542,20000,20,0,0,7,2,7,0,8,59.35,0.98,3,2,0
154203,1542,13000,25,0,0,6,2,7,0,6,56.68,0.06,3,2,0
154204,1542,16000,30,0,0,5,2,7,-4,6,69.26,1.16,3,2,1
154206,1542,-4,-4,0,0,2,1,3,1,-4,40.28,0.44,-4,-4,-4
154207,1542,45000,-7,0,0,2,1,7,0,2,38.12,-0.03,4,2,-7
154208,1542,19000,40,0,0,3,2,7,1,2,42.63,0.34,4,2,1
154209,1542,20000,40,0,0,3,2,7,0,6,66.4,0.08,3,4,1
154210,1542,-4,-4,0,0,2,1,7,1,-4,50.1,-0.19,-4,-4,-4
154211,1542,32000,50,0,0,3,2,7,0,6,53.26,0.37,3,2,0
154212,1542,14000,38,0,0,2,2,7,0,4,55.46,0.28,3,2,1
154213,1542,5000,15,0,0,6,1,7,-4,10,65.7,0.92,3,2,0
154214,1542,0,-3,0,0,2,2,7,0,2,59.21,-0.32,4,2,-3
154215,1542,10000,60,0,0,4,1,7,1,3,50.71,0.55,3,2,0
154216,1542,10000,40,0,0,7,2,7,0,5,46.96,0.56,3,2,1
154217,1542,16000,36,0,0,3,2,7,0,2,51.64,0.26,4,2,0
154218,1542,18000,40,0,1,2,-8,-8,-3,1,-8,-8,4,2,0
154219,1542,37000,40,0,0,3,1,7,0,3,46.8,-0.07,3,3,1
154220,1542,4500,30,0,0,5,1,7,0,5,58.86,0.61,3,2,1
154221,1542,48000,40,0,0,7,2,7,0,6,48.27,0.64,3,3,0
