,STU_ID,SCH_ID,F3ERN2011,F3C02,F3EVRGED,F3EVERDO,BYMOTHED,BYS14,BYRACE,BYP61,F3ATTAINMENT,BYTXCSTD,BYSES1,F3JUNEDSTAT,F3REGION,F3B35,female,no_parent,moth_ed_1,moth_ed_2,moth_ed_3,moth_ed_4,moth_ed_5,moth_ed_6,moth_ed_7,moth_ed_8,region_1,region_2,region_3,region_4,high_school_grad,ged,BYRACE2,Other,Asian,Black,Hispanic,White,post_sec_edu,income_log
322,107129,1071,35000,40,0,0,6,1,7,1,6,64.86,0.37,3,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,7,0,0,0,0,1,4,10.46310334
323,107130,1071,90000,90,0,0,2,1,7,0,3,33.9,-0.23,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,11.40756495
325,107132,1071,80000,50,0,0,2,1,7,0,3,46.45,-0.77,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,11.28978191
329,107204,1072,30000,40,0,1,4,1,7,1,1,35.79,-0.8,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,10.30895266
330,107206,1072,7000,30,0,0,4,1,7,1,2,59.47,0.31,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,8.853665428
331,107207,1072,32000,40,0,0,2,2,7,0,4,50.67,0.01,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,1,10.37349118
333,107209,1072,16000,37,0,0,4,2,7,0,2,35.77,0.92,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,9.680344001
335,107211,1072,10000,35,0,0,3,2,3,1,4,34.75,-0.48,3,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,1,9.210340372
336,107212,1072,21000,40,0,0,5,1,7,1,4,36.14,-0.8,3,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,1,9.952277717
337,107213,1072,70000,50,0,0,6,1,6,1,2,56.61,-0.58,4,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,11.15625052
338,107215,1072,18000,32,0,0,2,1,7,0,3,35.54,-0.58,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,9.798127037
344,107221,1072,15000,40,0,0,2,1,7,1,2,41.69,-0.21,4,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,9.61580548
345,107222,1072,60000,40,0,0,4,1,7,0,5,60.53,-0.25,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,2,11.00209984
348,107225,1072,2000,40,0,1,2,1,7,0,2,43.08,-0.21,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,7.60090246
353,108101,1081,20000,40,0,0,6,2,7,0,5,50.6,0.99,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0,0,1,2,9.903487553
358,108109,1081,58000,40,0,0,6,2,7,0,6,61.8,0.72,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,7,0,0,0,0,1,4,10.96819829
360,108111,1081,65000,40,0,0,6,1,2,0,6,66.52,1.19,3,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,1,0,0,0,4,11.08214255
361,108115,1081,20000,60,0,0,7,2,7,0,5,40.44,0.76,3,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,1,2,9.903487553
364,108122,1081,28000,40,0,0,8,2,7,1,6,69.1,1.29,3,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,7,0,0,0,0,1,4,10.23995979
365,108125,1081,45000,60,0,0,6,1,2,0,6,52.56,1.09,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,1,0,0,0,4,10.71441777
366,108126,1081,65000,45,0,0,6,2,2,0,8,59.26,1.27,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,1,0,0,0,6,11.08214255
367,108127,1081,32000,40,0,0,2,2,7,0,7,72.11,0.35,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,5,10.37349118
372,108204,1082,39000,50,0,0,2,1,7,0,5,46.51,-0.18,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,2,10.57131693
375,108207,1082,30000,40,0,0,2,2,4,0,6,43.54,-1.08,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,1,0,4,10.30895266
378,108210,1082,21000,30,0,0,4,1,7,0,6,55.04,-0.08,3,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,7,0,0,0,0,1,4,9.952277717
379,108211,1082,20000,24,0,1,2,2,7,1,2,52.14,-0.19,4,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,9.903487553
380,108212,1082,30000,50,0,0,2,1,7,0,3,60.29,0.47,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.30895266
381,108214,1082,48000,80,0,1,4,1,7,1,1,33.31,-0.74,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,10.77895629
383,108217,1082,50000,36,0,0,4,2,7,0,6,58.07,0.35,3,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.81977828
