STU_ID,SCH_ID,F3ERN2011,F3C02,BYTXCSTD,BYSES1,female,no_parent,moth_ed_1,moth_ed_2,moth_ed_3,moth_ed_4,moth_ed_5,moth_ed_6,moth_ed_7,moth_ed_8,region_1,region_2,region_3,region_4,high_school_grad,ged,Other,Asian,Black,Hispanic,White,post_sec_edu,income_log
105106,1051,10000,30,54.46,-0.28,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9.210340372
105107,1051,35000,40,63.87,0.73,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,10.46310334
105112,1051,38000,40,54.25,1.13,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,4,10.54534144
105114,1051,3500,20,49.75,-0.93,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,8.160518247
105115,1051,65000,60,49.92,-0.25,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,6,11.08214255
105121,1051,26000,28,54.88,-0.65,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,10.16585182
105123,1051,33000,42,52.43,0.34,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,10.40426284
105127,1051,9000,30,41.91,-0.68,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,9.104979856
105132,1051,32000,65,56.49,-0.49,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,10.37349118
105202,1052,23000,60,50.16,-0.43,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,10.04324949
105205,1052,35000,32,53.94,-0.84,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,10.46310334
105207,1052,75000,40,37.46,-1.18,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,11.22524339
105209,1052,55000,50,49.99,-0.82,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,10.91508846
105213,1052,45000,30,41.93,-0.45,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,4,10.71441777
105217,1052,44000,38,44.84,0.39,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,10.69194491
105220,1052,47000,45,51.56,-0.58,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,10.75790288
105221,1052,11000,60,42.43,-0.83,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,9.305650552
105226,1052,30000,65,58.83,-0.68,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,6,10.30895266
105227,1052,20000,40,60,0.7,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,4,9.903487553
106101,1061,40000,45,58.24,1.13,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,4,10.59663473
106102,1061,5000,40,53.39,0.74,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,8,8.517193191
106103,1061,7000,60,49.5,0.89,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,8.853665428
106104,1061,72000,40,61.92,0.63,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,6,11.1844214
106106,1061,22000,30,44.93,-1.06,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,9.998797732
106110,1061,25000,60,35.18,0.55,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,10.1266311
106113,1061,48000,40,57.37,-0.37,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,10.77895629
106114,1061,38000,35,61.08,0.34,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,6,10.54534144
106115,1061,6000,60,66.58,0.64,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,6,8.699514748
106124,1061,35000,40,51.55,0.51,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,10.46310334
106126,1061,48000,42,50.53,-0.1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,10.77895629
106127,1061,50000,40,58.01,0.35,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,10.81977828
106128,1061,37000,40,60.5,0.65,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,10.51867319
106202,1062,65000,40,61.15,-0.37,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,11.08214255
106203,1062,35000,40,59.11,0.19,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,10.46310334
106204,1062,60000,60,47.38,-0.26,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,11.00209984
106207,1062,55000,45,53.68,-0.38,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,10.91508846
106210,1062,36000,40,51.88,-0.6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,10.49127422
106211,1062,35000,45,57.04,-0.59,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,10.46310334
107101,1071,75000,50,62.55,-0.54,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,11.22524339
107102,1071,38000,60,61.99,0.39,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,8,10.54534144
107114,1071,20000,40,26.68,-0.85,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,9.903487553
107116,1071,65000,45,56.72,-0.08,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,4,11.08214255
107117,1071,5000,15,46.7,0.63,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,8.517193191
107125,1071,45000,40,59.59,0.38,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,10.71441777
107126,1071,6000,40,27.99,-0.94,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,8.699514748
107129,1071,35000,40,64.86,0.37,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,4,10.46310334
107130,1071,90000,90,33.9,-0.23,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,11.40756495
107132,1071,80000,50,46.45,-0.77,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,11.28978191
107204,1072,30000,40,35.79,-0.8,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10.30895266
107206,1072,7000,30,59.47,0.31,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,8.853665428
107207,1072,32000,40,50.67,0.01,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,10.37349118
107209,1072,16000,37,35.77,0.92,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,9.680344001
107211,1072,10000,35,34.75,-0.48,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,9.210340372
107212,1072,21000,40,36.14,-0.8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,9.952277717
107213,1072,70000,50,56.61,-0.58,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,11.15625052
107215,1072,18000,32,35.54,-0.58,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,9.798127037
107221,1072,15000,40,41.69,-0.21,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,9.61580548
107222,1072,60000,40,60.53,-0.25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,11.00209984
107225,1072,2000,40,43.08,-0.21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7.60090246
108101,1081,20000,40,50.6,0.99,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,2,9.903487553
108109,1081,58000,40,61.8,0.72,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,4,10.96819829
108111,1081,65000,40,66.52,1.19,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,4,11.08214255
108115,1081,20000,60,40.44,0.76,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2,9.903487553
108122,1081,28000,40,69.1,1.29,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,4,10.23995979
108125,1081,45000,60,52.56,1.09,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,4,10.71441777
108126,1081,65000,45,59.26,1.27,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,6,11.08214255
108127,1081,32000,40,72.11,0.35,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,5,10.37349118
108204,1082,39000,50,46.51,-0.18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,10.57131693
108207,1082,30000,40,43.54,-1.08,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4,10.30895266
108210,1082,21000,30,55.04,-0.08,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,9.952277717
108211,1082,20000,24,52.14,-0.19,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9.903487553
108212,1082,30000,50,60.29,0.47,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,10.30895266
108214,1082,48000,80,33.31,-0.74,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10.77895629
108217,1082,50000,36,58.07,0.35,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,10.81977828
